time,joint1_desired,joint2_desired,joint3_desired,joint4_desired,joint5_desired,joint6_desired,joint7_desired,joint1_actual,joint2_actual,joint3_actual,joint4_actual,joint5_actual,joint6_actual,joint7_actual
0.181,-0.0004489934724462099,-0.0002469464098454154,-0.0005387921669354519,-1.5709827124883087,-0.0010775843338709037,1.571521504655244,-0.7840494184811955,-0.00013954104384256377,0.004711622738994876,-0.0001674611413713522,-1.57534700883943,-0.0006692345307321232,1.5703352994764437,-0.7848850108850299
0.182,-0.00045633606032594937,-0.00025098483317927215,-0.0005476032723911393,-1.5709858640004524,-0.0010952065447822786,1.5715334672728434,-0.7840289671711741,-0.00014245345858995013,0.004719309688924888,-0.0001709491346622304,-1.5753570114644948,-0.0006771087106063194,1.5703389012266182,-0.7848765549726266
0.183,-0.00046375669994619455,-0.00025506618497040697,-0.0005565080399354335,-1.570989049013184,-0.001113016079870867,1.5715455570531192,-0.78400829846364,-0.00014540859479335208,0.004726872093041441,-0.00017448828828491657,-1.5753669407104713,-0.0006850807096783702,1.5703425880937563,-0.7848679780855748
0.184,-0.0004712557700238541,-0.00025919067351311975,-0.0005655069240286248,-1.570992267689052,-0.0011310138480572496,1.5715577746130804,-0.7839874113037525,-0.0001484068081557347,0.004734310846168979,-0.00017807902943062405,-1.575376797706416,-0.0006931514304643143,1.570346360490213,-0.7848592792544219
0.185,-0.0004788336487419999,-0.0002633585068081,-0.0005746003784903999,-1.5709955201903765,-0.0011492007569807998,1.571570120568867,-0.7839663046381589,-0.00015144845464535884,0.004741626831202134,-0.00018172178561032463,-1.5753865835710803,-0.0007013217755049747,1.5703502188305019,-0.7848504575088682
0.186,-0.00048649071375009794,-0.0002675698925625538,-0.0005837888565001176,-1.5709988066792486,-0.0011675777130002352,1.5715825955357487,-0.7839449774149918,-0.0001545338904873749,0.004748820919237602,-0.00018541698464458732,-1.5753962994130193,-0.0007095926473532283,1.570354163531263,-0.7848415118777903
0.187,-0.0004942273421642375,-0.0002718250381903306,-0.000593072810597085,-1.57100212731753,-0.00118614562119417,1.5715952001281275,-0.78392342858387,-0.00015766347215550732,0.004755893969704605,-0.00018916505465352718,-1.5754059463306969,-0.0007179649485614052,1.5703581950112326,-0.7848324413892643
0.188,-0.0005020439105673626,-0.0002761241508120494,-0.0006024526926808351,-1.5710054822668547,-0.0012049053853616701,1.5716079349595353,-0.7839016570958967,-0.00016083755636382862,0.00476284683049394,-0.0001929664240468634,-1.5754155254125917,-0.0007264395816688153,1.5703623136912115,-0.7848232450705886
0.189,-0.0005099407950095021,-0.00028046743725522607,-0.0006119289540114025,-1.571008871688626,-0.001223857908022805,1.5716208006426375,-0.78387966190366,-0.00016405650005862237,0.004769680338085627,-0.00019682152151408497,-1.5754250377373016,-0.0007350174491894023,1.5703665199940349,-0.7848139219483067
0.19,-0.0005179183710080001,-0.0002848551040544,-0.0006215020452096001,-1.5710122957440202,-0.0012430040904192001,1.5716337977892298,-0.7838574419612314,-0.0001673206604103338,0.0047763953176751875,-0.00020073077601472347,-1.5754344843736463,-0.0007436994535995234,1.570370814344542,-0.7848044710482289
