time,px,py,pz,vx,vy,vz,ax,ay,az
0.248000,0.003139,0.000000,0.000000,0.035398,0.000000,0.000000,0.245056,0.000000,0.000000
0.249000,0.003175,0.000000,0.000000,0.035643,0.000000,0.000000,0.245576,0.000000,0.000000
0.250000,0.003210,0.000000,0.000000,0.035889,0.000000,0.000000,0.246094,0.000000,0.000000
0.251000,0.003246,0.000000,0.000000,0.036135,0.000000,0.000000,0.246608,0.000000,0.000000
0.252000,0.003283,0.000000,0.000000,0.036382,0.000000,0.000000,0.247118,0.000000,0.000000
0.253000,0.003319,0.000000,0.000000,0.036629,0.000000,0.000000,0.247625,0.000000,0.000000
0.254000,0.003356,0.000000,0.000000,0.036877,0.000000,0.000000,0.248129,0.000000,0.000000
0.255000,0.003393,0.000000,0.000000,0.037126,0.000000,0.000000,0.248630,0.000000,0.000000
0.256000,0.003430,0.000000,0.000000,0.037374,0.000000,0.000000,0.249127,0.000000,0.000000
0.257000,0.003468,0.000000,0.000000,0.037624,0.000000,0.000000,0.249621,0.000000,0.000000
0.258000,0.003505,0.000000,0.000000,0.037874,0.000000,0.000000,0.250111,0.000000,0.000000
0.259000,0.003543,0.000000,0.000000,0.038124,0.000000,0.000000,0.250598,0.000000,0.000000
0.260000,0.003582,0.000000,0.000000,0.038375,0.000000,0.000000,0.251082,0.000000,0.000000
0.261000,0.003620,0.000000,0.000000,0.038626,0.000000,0.000000,0.251562,0.000000,0.000000
0.262000,0.003659,0.000000,0.000000,0.038878,0.000000,0.000000,0.252040,0.000000,0.000000
0.263000,0.003698,0.000000,0.000000,0.039130,0.000000,0.000000,0.252513,0.000000,0.000000
0.264000,0.003737,0.000000,0.000000,0.039383,0.000000,0.000000,0.252984,0.000000,0.000000
0.265000,0.003777,0.000000,0.000000,0.039636,0.000000,0.000000,0.253451,0.000000,0.000000
0.266000,0.003817,0.000000,0.000000,0.039890,0.000000,0.000000,0.253915,0.000000,0.000000
0.267000,0.003857,0.000000,0.000000,0.040144,0.000000,0.000000,0.254375,0.000000,0.000000
0.268000,0.003897,0.000000,0.000000,0.040399,0.000000,0.000000,0.254833,0.000000,0.000000
0.269000,0.003937,0.000000,0.000000,0.040654,0.000000,0.000000,0.255287,0.000000,0.000000
0.270000,0.003978,0.000000,0.000000,0.040909,0.000000,0.000000,0.255737,0.000000,0.000000
0.271000,0.004019,0.000000,0.000000,0.041165,0.000000,0.000000,0.256185,0.000000,0.000000
0.272000,0.004060,0.000000,0.000000,0.041422,0.000000,0.000000,0.256629,0.000000,0.000000
0.273000,0.004102,0.000000,0.000000,0.041678,0.000000,0.000000,0.257070,0.000000,0.000000
0.274000,0.004144,0.000000,0.000000,0.041936,0.000000,0.000000,0.257507,0.000000,0.000000
0.275000,0.004186,0.000000,0.000000,0.042193,0.000000,0.000000,0.257941,0.000000,0.000000
0.276000,0.004228,0.000000,0.000000,0.042452,0.000000,0.000000,0.258372,0.000000,0.000000
0.277000,0.004271,0.000000,0.000000,0.042710,0.000000,0.000000,0.258800,0.000000,0.000000
